ENSG00000016602,4.444,3.73,3.903,3.047,3.171,2.985,0.039847962
ENSG00000143013,3.086,3.066,3.464,2.718,2.548,1.988,0.049096421
ENSG00000154451,0.1291,0.3066,0.07997,0.7268,0.4525,0.6212,0.016007173
ENSG00000183347,22.57,22.74,23.14,15.15,17.29,18.47,0.02374477
ENSG00000137936,12.51,11.85,12.44,13.92,12.95,14.3,0.048552136
ENSG00000023909,5.507,5.747,5.5,4.955,5.246,4.984,0.013658339
ENSG00000117525,264.7,253.2,256,314.7,342.3,338.9,0.006740876
ENSG00000143036,3.51,3.589,3.662,2.831,3.145,2.632,0.032264571
ENSG00000099260,10.2,10.58,10.79,6.212,8.136,7.084,0.01869603
ENSG00000156875,13.69,14.21,16.02,11.55,12.16,11.2,0.036991143
ENSG00000162694,1.169,1.421,1.666,0.883,0.7634,0.8032,0.045497937
ENSG00000170989,0.6272,0.6391,0.5664,0.3896,0.3881,0.5078,0.025287939
ENSG00000134215,1.752,2.055,2.33,1.148,1.336,1.23,0.030365867
ENSG00000134222,3.925,3.461,3.857,2.209,2.664,3.141,0.037484987
ENSG00000134243,8.294,8.744,8.122,6.858,6.813,7.076,0.007246963
ENSG00000174151,3.324,3.692,3.17,2.639,2.537,2.626,0.031521915
ENSG00000134184,4.352,3.629,4.183,3.145,3.133,3.019,0.044421569
ENSG00000197852,2.987,2.648,2.62,1.728,1.884,2.375,0.039365842
ENSG00000116774,0.1938,0.2045,0.1959,0.3739,0.3104,0.3729,0.016187266
ENSG00000177551,0.7609,1.046,0.9482,0.687,0.5422,0.4668,0.031656615
ENSG00000173212,0.6443,0.6611,0.7221,0.3425,0.3814,0.5098,0.020189515
ENSG00000163399,47.63,47.61,45.72,40.62,43.44,42.22,0.010493329
ENSG00000134258,4.381,3.101,3.681,1.965,1.838,1.46,0.021351638
ENSG00000198162,5.279,5.829,6.251,4.124,4.746,4.719,0.026235778
ENSG00000134250,15.64,16.16,15.88,15.19,15.35,15.36,0.04533671
