ENSEMBL	ENTREZID
ENSG00000213160	151230
ENSG00000213160	100526832
ENSG00000071967	79901
ENSG00000172845	6670
ENSG00000163328	151556
ENSG00000115966	1386
ENSG00000155657	7273
ENSG00000163510	57703
ENSG00000115232	3676
ENSG00000151687	150709
ENSG00000064933	5378
ENSG00000233654	105376748
ENSG00000115415	6772
ENSG00000128641	4430
ENSG00000168497	8436
ENSG00000081320	9262
ENSG00000197121	80055
ENSG00000115896	5334
ENSG00000196141	26010
ENSG00000138380	79800
ENSG00000119004	57404
ENSG00000114948	8745
ENSG00000163251	7855
ENSG00000178385	389072
ENSG00000138413	3417
ENSG00000127824	7277
ENSG00000116106	2043
ENSG00000163082	130367
ENSG00000115009	6364
ENSG00000067066	6672
ENSG00000182600	389084
ENSG00000168918	3635
ENSG00000123485	55355
ENSG00000115648	79083
ENSG00000130294	547
ENSG00000146205	50636
ENSG00000113851	51185
ENSG00000150995	3708
ENSG00000134107	8553
ENSG00000196220	9901
ENSG00000134070	3656
ENSG00000157014	9797
ENSG00000144560	9686
ENSG00000144711	9922
ENSG00000163517	79885
ENSG00000154764	7476
ENSG00000154767	7508
ENSG00000131378	23180
ENSG00000131374	9779
ENSG00000182568	6304
ENSG00000163491	152110
ENSG00000144642	27303
ENSG00000170266	2720
ENSG00000170275	10491
ENSG00000144677	10217
ENSG00000206760	574040
ENSG00000168032	956
ENSG00000114812	7433
ENSG00000163814	64866
ENSG00000163820	79443
ENSG00000114648	23276
ENSG00000185909	200942
ENSG00000264633	100422952
ENSG00000164078	4486
ENSG00000023330	211
ENSG00000010319	56920
ENSG00000136068	2317
ENSG00000244161	105377105
ENSG00000163686	57406
ENSG00000163689	200844
ENSG00000163637	166336
ENSG00000163638	56999
ENSG00000227124	100131827
ENSG00000184500	5627
ENSG00000178700	200895
ENSG00000144810	1295
ENSG00000144802	64332
ENSG00000170017	214
ENSG00000243701	344595
ENSG00000198919	9666
ENSG00000177494	79413
ENSG00000241155	100874246
ENSG00000144843	141
ENSG00000173230	2804
ENSG00000163406	6565
ENSG00000114013	942
ENSG00000138496	83666
ENSG00000163840	151636
ENSG00000173193	54625
ENSG00000169087	79663
ENSG00000065485	10954
ENSG00000065534	4638
ENSG00000175455	64770
ENSG00000173706	57493
ENSG00000250218	100874204
ENSG00000183624	56941
ENSG00000158220	83850
ENSG00000163714	23350
ENSG00000175040	9435
ENSG00000181804	285195
ENSG00000188313	5359
ENSG00000018408	25937
ENSG00000138271	53836
ENSG00000079257	56925
ENSG00000118855	64747
ENSG00000213186	286827
ENSG00000163590	151742
ENSG00000184378	84517
ENSG00000171757	151827
ENSG00000075420	64778
ENSG00000231574	102724550
ENSG00000181449	6657
ENSG00000043093	54165
ENSG00000182580	2049
ENSG00000290862	344887
ENSG00000058866	1608
ENSG00000163918	5984
ENSG00000073849	6480
ENSG00000145012	4026
ENSG00000196083	3556
ENSG00000114331	23527
ENSG00000163959	200931
ENSG00000186001	84859
ENSG00000114473	84223
ENSG00000168924	3954
ENSG00000063978	6047
ENSG00000087269	8602
ENSG00000163993	6286
ENSG00000196526	60312
ENSG00000109667	56606
ENSG00000071127	9948
ENSG00000002549	51056
ENSG00000163138	133015
ENSG00000109819	10891
ENSG00000169851	5099
ENSG00000163682	6133
ENSG00000109814	7358
ENSG00000163683	201895
ENSG00000145246	57205
ENSG00000109182	80157
ENSG00000109163	2798
ENSG00000169429	3576
ENSG00000163739	2919
ENSG00000163735	6374
ENSG00000163734	2921
ENSG00000081041	2920
ENSG00000138769	8999
ENSG00000156194	5470
ENSG00000163749	339965
ENSG00000138771	57619
ENSG00000138772	306
ENSG00000138756	55589
ENSG00000145284	79966
ENSG00000180769	404201
ENSG00000138639	83478
ENSG00000109339	5602
ENSG00000198189	51170
ENSG00000118762	5311
ENSG00000138642	55008
ENSG00000138640	10144
ENSG00000246090	100507053
ENSG00000172955	130
ENSG00000070190	27071
ENSG00000145358	115265
ENSG00000109320	4790
ENSG00000109323	4126
ENSG00000245384	101929468
ENSG00000138798	1950
ENSG00000145349	817
ENSG00000138735	8654
ENSG00000138688	84162
ENSG00000196159	79633
ENSG00000164040	10424
ENSG00000250033	641364
ENSG00000170153	57484
ENSG00000164136	3600
ENSG00000071205	79658
ENSG00000109670	55294
ENSG00000169989	201798
ENSG00000121210	23240
ENSG00000137462	7097
ENSG00000164125	51313
ENSG00000248429	285505
ENSG00000052795	57600
ENSG00000109472	1363
ENSG00000164105	8819
ENSG00000164118	80817
ENSG00000218336	55714
ENSG00000173320	56977
ENSG00000151726	2180
ENSG00000164342	7098
ENSG00000083857	2195
ENSG00000179046	205860
ENSG00000028310	65980
ENSG00000150753	22948
ENSG00000039139	1767
ENSG00000154122	56172
ENSG00000154153	54463
ENSG00000145555	4651
ENSG00000040731	1008
ENSG00000168685	3575
ENSG00000197603	65250
ENSG00000082074	2533
ENSG00000198865	100129792
ENSG00000250722	6414
ENSG00000134363	10468
ENSG00000185305	54622
ENSG00000039123	23517
ENSG00000035499	55789
ENSG00000152939	153562
ENSG00000145736	2966
ENSG00000145736	728340
ENSG00000049883	79810
ENSG00000157111	134285
ENSG00000164331	57763
ENSG00000198780	26049
ENSG00000164300	256987
ENSG00000145687	23635
ENSG00000245864	109729137
ENSG00000237187	441094
ENSG00000145757	83890
ENSG00000173221	2745
ENSG00000145730	5066
ENSG00000181751	90355
ENSG00000112874	83594
ENSG00000134986	9315
ENSG00000134986	124906525
ENSG00000145782	9140
ENSG00000145781	51397
ENSG00000092421	57556
ENSG00000113083	4015
ENSG00000061455	93166
ENSG00000168916	57507
ENSG00000113368	4001
ENSG00000164400	1437
ENSG00000155329	54819
ENSG00000081059	6932
ENSG00000113658	4090
ENSG00000152377	6695
ENSG00000146021	26249
ENSG00000112983	10902
ENSG00000120727	51247
ENSG00000170482	9963
ENSG00000113070	1839
ENSG00000254996	404734
ENSG00000120314	54853
ENSG00000204967	56144
ENSG00000204965	56143
ENSG00000253537	56108
ENSG00000276547	56101
ENSG00000253873	56105
ENSG00000171720	8841
